"code","term","definition","non-imdrf code/term","status","status description","codehierarchy","non-imdrf code","primary category","secondary category"
"E0731","Pleural Effusion","Increased amounts of fluid within the pleural cavity. Symptoms include shortness of breath, cough, and chest pain.",,"","","E07|E0731","MedDRA:10035598:Pleural effusion","",""
"E0732","Pleural Empyema","An accumulation of pus in the pleural space",,"","","E07|E0732","MedDRA:10037381:Pulmonary empyema","",""
"E0733","Pneumonia","An acute and/or chronic inflammation focally or diffusely affecting the lung parenchyma.",,"","","E07|E0733","MedDRA:10035664:Pneumonia","Respiratory System","Infections"
"E073301","Bronchopneumonia","Acute inflammation of the walls of the terminal bronchioles.",,"","","E07|E0733|E073301","MedDRA:10006469:Bronchopneumonia","Respiratory System","Infections"
"E0734","Pneumothorax","Abnormal presence of air in the pleural cavity.",,"","","E07|E0734","MedDRA:10035759:Pneumothorax","",""
"E0735","Pulmonary Dysfunction","Impaired or abnormal functioning of the pulmonary system causing multiple pulmonary issues.",,"","","E07|E0735","MedDRA:10037386:Pulmonary function impairment","",""
"E0736","Pulmonary Edema","Accumulation of fluid in the lung tissues causing disturbance of the gas exchange that may lead to respiratory failure.",,"","","E07|E0736","MedDRA:10037375:Pulmonary edema","Respiratory System","Generalized Disorders"
"E0737","Pulmonary Hypertension","Increased pressure within the pulmonary circulation due to lung or heart disorder.",,"","","E07|E0737","MedDRA:10037400:Pulmonary hypertension","",""
"E0738","Pulmonary Infarction","Localized necrosis of lung tissue caused by obstruction of the arterial blood supply, most often due to pulmonary embolism.",,"","","E07|E0738","MedDRA:10037410:Pulmonary infarction","",""
"E0739","Respiratory Acidosis","A condition in which the blood pH is less than normal, secondary to impaired gas exchange.",,"","","E07|E0739","MedDRA:10038661:Respiratory acidosis","Respiratory System","Endocrine, Metabolism and Nutrition"
"E0740","Respiratory Alkalosis","A condition in which the blood pH is greater than normal, secondary to impaired gas exchange.",,"","","E07|E0740","MedDRA:10038664:Respiratory alkalosis","Respiratory System","Endocrine, Metabolism and Nutrition"
"E0741","Respiratory Arrest","Cessation of breathing function.",,"","","E07|E0741","MedDRA:10038669:Respiratory arrest","",""
"E0742","Respiratory Failure","The significant impairment of gas exchange within the lungs resulting in hypoxia, hypercarbia, or both, to the extent that organ tissue perfusion is severely compromised.",,"","","E07|E0742","MedDRA:10038695:Respiratory failure","",""
"E0743","Respiratory Insufficiency","Impairment of gas exchange within the lungs secondary to a disease process, neoplasm, or trauma, possibly resulting in hypoxia, hypercarbia, or both.",,"","","E07|E0743","MedDRA:10038701:Respiratory insufficiency","",""
"E0744","Respiratory Tract Infection","An infectious disease affecting the respiratory tract.",,"","","E07|E0744","MedDRA:10062352:Respiratory tract infection","Respiratory System","Infections"
"E0745","Sinus Perforation","A rupture in the sinus tissue due to traumatic or pathologic processes.",,"","","E07|E0745","MedDRA:10040748:Sinus perforation","Respiratory System","Procedural Complications"
"E0746","Sneezing","A symptom consisting of the involuntary expulsion of air from the nose.",,"","","E07|E0746","MedDRA:10041232:Sneezing","",""
"E0747","Sore Throat","Any kind of inflammatory process of the tonsils, pharynx, or/and larynx characterized by pain in swallowing.",,"","","E07|E0747","MedDRA:10041367:Sore throat","",""
"E0748","Stacking Breaths","Condition where there are a greater number of inhalations relative to the number of exhalations.",,"","","E07|E0748","MedDRA:10068523:Breath stacking","",""
"E0749","Strangulation","Interference with respiration by compression of the larynx, laryngopharynx or trachea, as well as of the carotid arteria or jugular veins.",,"Modified (editorial)","Editorial change to the definition on 16 February 2021.","E07|E0749","MedDRA:10042169:Strangulation","Respiratory System","Injury"
"E0750","Ventilator Dependent","A condition that requires mechanical life support due to inability to breath effectively to maintain normal levels of oxygen and carbon dioxide in the body.",,"","","E07|E0750","MedDRA:10080927:Dependence on ventilator","",""
"E0751","Wheezing","A symptom and finding during physical examination, characterized by high-pitched, whistling sound during breathing. it results from narrowing or obstruction of the respiratory airways.",,"","","E07|E0751","MedDRA:10047924:Wheezing","",""
"E0752","Unspecified Respiratory Problem","The report describes a non-specific problem with the respiratory system. Note: Please use ""Appropriate Term / Code Not Available"" if the report describes a specific problem but the relevant term does not exist.",,"New","Term was added on 18 March 2020 for cases where the category of a health effect was reported but with no further details.","E07|E0752","","",""
"E1516","Respiratory Distress Syndrome of Newborns","A condition of the newborn marked by dyspnea with cyanosis.",,"","","E07|E1516","MedDRA:10038692:Respiratory distress syndrome in newborn","Pregnancy, Childbirth and the Puerperium","Respiratory System"
"E2202","High Oxygen Saturation","A high level of the degree to which oxygen is bound to hemoglobin given as a percentage calculated by dividing the maximum oxygen capacity into the actual oxygen content and multiplying by 100. Oxygen saturation usually is measured using pulse oximetry.",,"","","E07|E2202","MedDRA:10033319:Oxygen saturation high","Investigations and Diagnostic Tests","Respiratory System"
"E2203","Low Oxygen Saturation","A low level of the degree to which oxygen is bound to hemoglobin given as a percentage calculated by dividing the maximum oxygen capacity into the actual oxygen content and multiplying by 100. Oxygen saturation usually is measured using pulse oximetry.",,"","","E07|E2203","MedDRA:10033321:Oxygen saturation low","Investigations and Diagnostic Tests","Respiratory System"
"E08","Eye","Eye",,"Not selectable","Please use more detailed term within the hierarchy","E08","","",""
"E0801","Capsular Bag Tear","A tear in the capsular bag housing the lens.",,"","","E08|E0801","MedDRA:10063941:Posterior capsule tear","",""
"E0802","Cataract","Partial or complete opacity of the crystalline lens of one or both eyes that decreases visual acuity and eventually results in blindness. Some cataracts appear in infancy or in childhood, but most develop in older individuals. (Sternberg Diagnostic Surgical Pathology, 3rd ed.)",,"","","E08|E0802","MedDRA:10007739:Cataract","",""
"E0803","Chemosis","Edema of the mucous membrane of the eyeball and eyelid lining.",,"","","E08|E0803","MedDRA:10008435:Chemosis","Eye","Infections"
"E0804","Conjunctivitis","Inflammation of the conjunctiva of the eye.",,"","","E08|E0804","MedDRA:10010741:Conjunctivitis","",""
"E0805","Corneal Clouding/Hazing","Clouding of the middle area of the cornea, usually as a result of scarring due to infection, injury, or inflammation.",,"","","E08|E0805","MedDRA:10052116:Corneal clouding","",""
"E0806","Corneal Decompensation","Inability to maintain corneal integrity; or corneal edema resulting from failure of the corneal endothelium to maintain detumescence.",,"","","E08|E0806","MedDRA:10052117:Corneal decompensation","",""
"E0807","Corneal Edema","Hazy, swollen cornea.",,"","","E08|E0807","MedDRA:10011007:Corneal edema","Eye","Generalized Disorders"
"E080701","Corneal Stromal Edema","Fluid from the aqueous humor enters the corneal stroma and causes swelling.",,"","","E08|E0807|E080701","MedDRA:10054772:Corneal stromal edema","Eye","Generalized Disorders"
"E080702","Microcystic Edema","Corneal edema of inflammatory origin associated with contact lens wear and morphologically characterized by presence of epithelial microcysts.",,"","","E08|E0807|E080702","MedDRA:10068529:Corneal microcystic edema","Eye","Generalized Disorders"
"E0808","Corneal Epithelial Microcysts","Very small, round vesicles containing fluid and cellular debris observed on the surface of the cornea under slit lamp examination in some types of corneal dystrophy and in wearers of extended wear lenses.",,"","","E08|E0808","MedDRA:10068144:Corneal epithelial microcysts","",""
"E0809","Corneal Infiltrates","Discrete, small lesions present in the cornea as a result of corneal inflammation and, in some cases, after soft contact lens wear especially extended-wear lenses.",,"","","E08|E0809","MedDRA:10011022:Corneal infiltrates","",""
"E0810","Corneal Pannus","Superficial vascularization of the cornea with infiltration of granulation tissue.",,"","","E08|E0810","MedDRA:10033682:Pannus (corneal)","",""
"E0811","Corneal Perforation","A rupture in the corneal tissue due to traumatic or pathologic processes.",,"","","E08|E0811","MedDRA:10011039:Corneal perforation","Eye","Procedural Complications"
"E0812","Corneal Scar","Replacement of corneal tissue with scar tissue as a result of injury to the deeper layers of the cornea.",,"","","E08|E0812","MedDRA:10011044:Corneal scar","",""
"E0813","Corneal Touch","Complications of intraocular lens surgery; usually refers to intraocular lens contact with cornea, can be intermittent or chronic.",,"","","E08|E0813","MedDRA:10011055:Corneal touch","",""
"E0814","Corneal Ulcer","Area of epithelial tissue loss from corneal surface; associated with inflammatory cells in the cornea and anterior chamber.",,"","","E08|E0814","MedDRA:10048492:Corneal ulcer","",""
"E0815","Dry Eye(s)","A syndrome characterized by dryness of the cornea and conjunctiva. It is usually caused by a deficiency in tear production. Symptoms include a feeling of burning eyes and a possible foreign body presence in the eye.",,"","","E08|E0815","MedDRA:10013774:Dry eye","",""
"E0816","Endophthalmitis","Inflammation of the intraocular fluids or tissues usually with microbial organisms.",,"","","E08|E0816","MedDRA:10014801:Endophthalmitis","Eye","Infections"
"E0817","Excessive Tear Production","Profuse lacrimation.",,"","","E08|E0817","MedDRA:10015591:Excess tears","",""
"E0818","Eye Infections","An infection of any part of the eye, including the eyelid.",,"","","E08|E0818","MedDRA:10015929:Eye infection","Eye","Infections"
"E081801","Intraocular Infection","Infection within the eye.",,"","","E08|E0818|E081801","MedDRA:10054762:Eye infection intraocular","Eye","Infections"
"E0819","Eye Injury","Damage to the eye.",,"","","E08|E0819","MedDRA:10061128:Eye injury","Eye","Injury"
"E081901","Corneal Abrasion","Injury to the epithelium of the cornea.",,"","","E08|E0819|E081901","MedDRA:10010984:Corneal abrasion","",""
"E081902","Eye Burn","Burn injury, including chemical burn, to any part of the eye.",,"","","E08|E0819|E081902","MedDRA:10015911:Eye burns","Eye","Injury"
"E081903","Retinal Detachment","Separation of the inner retina layers from the underlying pigment epithelium.",,"","","E08|E0819|E081903","MedDRA:10038848:Retinal detachment","",""
"E081904","Retinal Injury","Damage to the retina due to toxicity, exposure to bright lights, or trauma.",,"","","E08|E0819|E081904","MedDRA:10057430:Retinal injury","Eye","Injury"
"E081905","Retinal Tear","A usually small tearing of the retina occurring when the vitreous separates from the retina. It may lead to retinal detachment.",,"","","E08|E0819|E081905","MedDRA:10038897:Retinal tear","",""
"E081906","Vitreous Detachment","Detachment of the vitreous humor from the retina.",,"","","E08|E0819|E081906","MedDRA:10047650:Vitreous detachment","Eye","Procedural Complications"
